INGLES,ESPAÑOL
the,la
of,de
and,y
to,a
in,en
i,i
that,que
was,estaba
his,su
he,él
it,eso
with,con
is,es
for,por
as,como
had,tenido
you,tú
not,no
be,ser
her,su
on,en
at,a
by,por
which,cual
have,tener
or,o
from,de
this,este
him,a él
but,pero
all,todos
she,ella
they,ellos
were,fueron
my,mi
are,son
me,yo
one,una
their,sus
so,asi que
an,un
said,dijo
them,a ellos
we,nosotros
who,quién
would,haría
been,estado
will,voluntad
no,no
when,cuando
there,allá
if,si
more,más
out,afuera
up,arriba
into,dentro
do,hacer
any,ningún
your,su
what,qué
has,posee
man,hombre
could,pudo
other,otro
than,que
our,nuestro
some,alguno
very,muy
time,tiempo
upon,al
about,sobre
may,mayo
its,su
only,solamente
now,ahora
like,me gusta
little,poco
then,después
can,pueden
should,debería
made,hecha
did,hizo
us,a nosotros
such,tal
a,a
great,estupendo
before,antes de
must,deber
two,dos
these,estas
see,ver
know,saber
over,sobre
much,mucho
down,abajo
after,después
first,primero
Mr,Señor
good,bueno
men,hombres
own,propio
never,nunca
most,la mayoría
old,antiguo
shall,deberá
day,día
where,dónde
those,aquellos
came,vino
come,venir
himself,él mismo
way,camino
work,trabajar
life,vida
without,sin que
go,Vamos
make,hacer
well,bien
through,mediante
being,siendo
long,largo
say,decir
might,puede que
how,cómo
am,soy
too,también
even,incluso
def,defectuoso
again,otra vez
many,muchos
back,espalda
here,aquí
think,pensar
every,cada
people,gente
went,se fue
same,mismo
last,ultimo
thought,pensamiento
away,lejos
under,por debajo
take,tomar
found,fundar
hand,mano
eyes,ojos
still,todavía
place,lugar
while,tiempo
just,sólo
also,además
young,joven
yet,aún
though,aunque
against,contra
things,cosas
get,obtener
ever,alguna vez
give,dar
god,dios
years,años
off,apagado
face,cara
nothing,nada
right,Correcto
once,una vez
another,otro
left,izquierda
part,parte
saw,sierra
house,casa
world,mundo
head,cabeza
three,Tres
took,tomó
new,nuevo
love,amor
always,siempre
Mrs,Sra
put,poner
night,noche
each,cada
king,rey
between,Entre
tell,decir
mind,mente
heart,corazón
few,pocos
because,porque
thing,cosa
whom,quién
far,lejos
seemed,pareció
looked,mirado
called,llamó
whole,entero
de,Delaware
set,establecer
both,ambas cosas
got,obtuvo
find,encontrar
